"expediente","producto","titular","registrosanitario","fechaexpedicion","fechavencimiento","estadoregistro","expedientecum","consecutivocum","cantidadcum","descripcioncomercial","estadocum","fechaactivo","fechainactivo","muestramedica","unidad","atc","descripcionatc","viaadministracion","concentracion","principioactivo","unidadmedida","cantidad","unidadreferencia","formafarmaceutica","nombrerol","tiporol","modalidad","ium"
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","14","21","USO INSTITUCIONAL - CAJA POR 1 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER SIN PORTABLISTER.","Inactivo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ACETATO DE CLORMADINONA","mg","2","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER",
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","17","126","USO INSTITUCIONAL - CAJA POR 6 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER SIN PORTABLISTER.","Inactivo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ACETATO DE CLORMADINONA","mg","2","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","EXELTIS S.A.S","IMPORTADOR","IMPORTAR Y VENDER",
"20103221","POST 2D® 0.75 MG TABLETAS","EXELTIS S.A.S.","INVIMA 2021M-0017046-R1","2016 May 03 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20103221","6","16","1L1008251006103 LEVONORGESTREL 0.7500 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (POST2D) TABLETA 1.0000U / CAJA X 16 / CAJA PLEGADIZA CON 8 BLÍSTER EN PVC/PVDC/FOIL ALUMINIO POR 2 TABLETAS CADA BLÍSTER","Activo","10/26/2019",,"No","U","G03AC03","LEVONORGESTREL","ORAL","A","LEVONORGESTREL","mg","0,75","TABLETA","TABLETA","EXELTIS S.A.S.","IMPORTADOR","IMPORTAR Y VENDER","1L1008251006103"
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","18","21","MUESTRA MÉDICA - CAJA POR 1 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA. CADA BLÍSTER SIN PORTABLISTER.","Inactivo","11/08/2016",,"Si","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ETINILESTRADIOL MICRONIZADO","mg","0,03","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","EXELTIS S.A.S","IMPORTADOR","IMPORTAR Y VENDER",
"19950320","CETIRIZINA 10MG","COLMED LTDA","INVIMA 2021M-0004383-R2","2005 Apr 26 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","19950320","7","20","CAJA POR 20 TABLETAS CUBIERTAS CON PELÍCULA EN EMPAQUE INDIVIDUAL TIPO BLÍSTER ALUMINIO/ PVDC POR 10 TABLETAS CUBIERTAS CON PELÍCULA.","Activo","05/15/2015","06/09/2020","No","U","R06AE07","CETIRIZINA","ORAL","A","CETIRIZINA DICLORHIDRATO","mg","10","TABLETA CUBIERTA CON PELÍCULA","TABLETA RECUBIERTA","PROCAPS S.A.","FABRICANTE","FABRICAR Y VENDER",
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","6","21","CAJA POR 1 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER SIN PORTABLISTER.","Activo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ETINILESTRADIOL MICRONIZADO","mg","0,03","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER","2C1006721007104"
"27407","LASIX® 40 MG TABLETAS","SANOFI-AVENTIS DE COLOMBIA S.A.","INVIMA 2021M-00181-R4","1995 Oct 03 12:00:00 AM","2021 Oct 01 12:00:00 AM","En tramite renov","27407","2","12","CAJA POR 12 TABLETAS EN BLISTER PVC VERDE/ALUMINIO.","Activo","11/10/2006",,"No","U","C03CA01","FUROSEMIDA","ORAL","A","FUROSEMIDA","mg","40","TABLETA","TABLETA","OPELLA HEALTHCARE BRAZIL LTDA","FABRICANTE","IMPORTAR Y VENDER",
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","19","42","CAJA POR 2 BLÍSTER DE PVC-PVDC/ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER CON Ó SIN PORTABLISTER.","Activo","03/09/2017",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ACETATO DE CLORMADINONA","mg","2","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","EXELTIS S.A.S","IMPORTADOR","IMPORTAR Y VENDER","2C1006721007103"
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","16","84","USO INSTITUCIONAL - CAJA POR 4 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER SIN PORTABLISTER.","Inactivo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ACETATO DE CLORMADINONA","mg","2","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","EXELTIS S.A.S","IMPORTADOR","IMPORTAR Y VENDER",
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","12","84","USO INSTITUCIONAL - CAJA POR 4 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER CON PORTABLISTER.","Inactivo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ETINILESTRADIOL MICRONIZADO","mg","0,03","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER",
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","13","126","USO INSTITUCIONAL - CAJA POR 6 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER CON PORTABLISTER.","Inactivo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ETINILESTRADIOL MICRONIZADO","mg","0,03","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","EXELTIS S.A.S","IMPORTADOR","IMPORTAR Y VENDER",
"20103221","POST 2D® 0.75 MG TABLETAS","EXELTIS S.A.S.","INVIMA 2021M-0017046-R1","2016 May 03 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20103221","5","12","1L1008251006107 LEVONORGESTREL 0.7500 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (POST2D) TABLETA 1.0000U / CAJA X 12 / CAJA PLEGADIZA CON 6 BLÍSTER EN PVC/PVDC/FOIL ALUMINIO POR 2 TABLETAS CADA BLÍSTER","Activo","10/26/2019",,"No","U","G03AC03","LEVONORGESTREL","ORAL","A","LEVONORGESTREL","mg","0,75","TABLETA","TABLETA","EXELTIS S.A.S.","IMPORTADOR","IMPORTAR Y VENDER","1L1008251006107"
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","1","21","CAJA POR 1 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER CON PORTABLISTER.","Activo","01/27/2015",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ACETATO DE CLORMADINONA","mg","2","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER","2C1006721007104"
